x1,x2,x3
0.363557425,1.509924431,2.8
0.363557425,1.509924431,2.9
0.363557425,1.509924431,3
0.363557425,1.509924431,3.1
0.363557425,1.509924431,3.2
0.363557425,1.509924431,3.3
0.363557425,1.509924431,3.4
0.363557425,1.509924431,3.5
0.363557425,1.509924431,3.6
0.363557425,1.509924431,3.7
0.363557425,1.509924431,3.8
0.363557425,1.509924431,3.9
0.363557425,1.509924431,4
0.363557425,1.509924431,4.1
0.363557425,1.509924431,4.2
0.363557425,1.509924431,4.3
0.363557425,1.526336653,2.5
0.363557425,1.526336653,2.6
0.363557425,1.526336653,2.7
0.363557425,1.526336653,2.8
0.363557425,1.526336653,2.9
0.363557425,1.526336653,3
0.363557425,1.526336653,3.1
0.363557425,1.526336653,3.2
0.363557425,1.526336653,3.3
0.363557425,1.526336653,3.4
0.363557425,1.526336653,3.5
0.363557425,1.526336653,3.6
0.363557425,1.526336653,3.7
0.363557425,1.526336653,3.8
0.363557425,1.526336653,3.9
0.363557425,1.526336653,4
0.363557425,1.526336653,4.1
0.363557425,1.526336653,4.2
0.363557425,1.526336653,4.3
0.363557425,1.542748875,2.5
0.363557425,1.542748875,2.6
0.363557425,1.542748875,2.7
0.363557425,1.542748875,2.8
0.363557425,1.542748875,2.9
0.363557425,1.542748875,3
0.363557425,1.542748875,3.1
0.363557425,1.542748875,3.2
0.363557425,1.542748875,3.3
0.363557425,1.542748875,3.4
0.363557425,1.542748875,3.5
0.363557425,1.542748875,3.6
0.363557425,1.542748875,3.7
0.363557425,1.542748875,3.8
0.363557425,1.542748875,3.9
0.363557425,1.542748875,4
0.363557425,1.542748875,4.1
0.363557425,1.542748875,4.2
0.363557425,1.542748875,4.3
0.363557425,1.559161097,2.5
0.363557425,1.559161097,2.6
0.363557425,1.559161097,2.7
0.363557425,1.559161097,2.9
0.363557425,1.559161097,3
0.363557425,1.559161097,3.2
0.363557425,1.559161097,3.3
0.363557425,1.559161097,3.4
0.363557425,1.559161097,3.5
0.363557425,1.559161097,3.6
0.363557425,1.559161097,3.7
0.363557425,1.559161097,3.8
0.363557425,1.559161097,3.9
0.363557425,1.559161097,4
0.363557425,1.559161097,4.1
0.363557425,1.559161097,4.2
0.363557425,1.559161097,4.3
0.367384344,1.312977767,2.5
0.367384344,1.312977767,2.6
0.367384344,1.312977767,2.7
0.367384344,1.312977767,2.8
0.367384344,1.312977767,2.9
0.367384344,1.312977767,3.1
0.367384344,1.312977767,3.2
0.367384344,1.312977767,3.3
0.367384344,1.312977767,3.4
0.367384344,1.312977767,3.5
0.367384344,1.312977767,3.6
0.367384344,1.312977767,3.7
0.367384344,1.312977767,3.8
0.367384344,1.312977767,3.9
0.367384344,1.312977767,4
0.367384344,1.312977767,4.1
0.367384344,1.312977767,4.2
0.367384344,1.312977767,4.3
0.367384344,1.329389989,2.5
0.367384344,1.329389989,2.8
0.367384344,1.329389989,2.9
0.367384344,1.329389989,3
0.367384344,1.329389989,3.1
0.367384344,1.329389989,3.2
0.367384344,1.329389989,3.3
0.367384344,1.329389989,3.4
0.367384344,1.329389989,3.5
0.367384344,1.329389989,3.6
0.367384344,1.329389989,3.7
0.367384344,1.329389989,3.8
0.367384344,1.329389989,3.9
0.367384344,1.329389989,4
0.367384344,1.329389989,4.1
0.367384344,1.329389989,4.2
0.367384344,1.329389989,4.3
0.367384344,1.345802211,2.5
0.367384344,1.345802211,2.6
0.367384344,1.345802211,2.7
0.367384344,1.345802211,2.8
0.367384344,1.345802211,2.9
0.367384344,1.345802211,3
0.367384344,1.345802211,3.1
0.367384344,1.345802211,3.2
0.367384344,1.345802211,3.3
0.367384344,1.345802211,3.4
0.367384344,1.345802211,3.5
0.367384344,1.345802211,3.6
0.367384344,1.345802211,3.7
0.367384344,1.345802211,3.8
0.367384344,1.345802211,3.9
0.367384344,1.345802211,4
0.367384344,1.345802211,4.1
0.367384344,1.345802211,4.2
0.367384344,1.345802211,4.3
0.367384344,1.362214433,2.5
0.367384344,1.362214433,2.6
0.367384344,1.362214433,2.7
0.367384344,1.362214433,2.8
0.367384344,1.362214433,2.9
0.367384344,1.362214433,3
0.367384344,1.362214433,3.1
0.367384344,1.362214433,3.2
0.367384344,1.362214433,3.3
0.367384344,1.362214433,3.4
0.367384344,1.362214433,3.5
0.367384344,1.362214433,3.6
0.367384344,1.362214433,3.7
0.367384344,1.362214433,3.8
0.367384344,1.362214433,3.9
0.367384344,1.362214433,4
0.367384344,1.362214433,4.1
0.367384344,1.362214433,4.2
0.367384344,1.362214433,4.3
0.367384344,1.378626656,2.7
0.367384344,1.378626656,2.8
0.367384344,1.378626656,2.9
0.367384344,1.378626656,3
0.367384344,1.378626656,3.1
0.367384344,1.378626656,3.2
0.367384344,1.378626656,3.3
0.367384344,1.378626656,3.4
0.367384344,1.378626656,3.5
0.367384344,1.378626656,3.6
0.367384344,1.378626656,3.7
0.367384344,1.378626656,3.8
0.367384344,1.378626656,3.9
0.367384344,1.378626656,4
0.367384344,1.378626656,4.1
0.367384344,1.378626656,4.2
0.367384344,1.378626656,4.3
0.367384344,1.395038878,2.5
0.367384344,1.395038878,2.6
0.367384344,1.395038878,2.7
0.367384344,1.395038878,2.8
0.367384344,1.395038878,2.9
0.367384344,1.395038878,3.3
0.367384344,1.395038878,3.4
0.367384344,1.395038878,3.5
0.367384344,1.395038878,3.6
0.367384344,1.395038878,3.7
0.367384344,1.395038878,3.8
0.367384344,1.395038878,3.9
0.367384344,1.395038878,4
0.367384344,1.395038878,4.1
0.367384344,1.395038878,4.2
0.367384344,1.4114511,2.5
0.367384344,1.4114511,2.6
0.367384344,1.4114511,2.7
0.367384344,1.4114511,2.8
0.367384344,1.4114511,2.9
0.367384344,1.4114511,3
0.367384344,1.4114511,3.1
0.367384344,1.4114511,3.2
0.367384344,1.4114511,3.3
0.367384344,1.4114511,3.4
0.367384344,1.4114511,3.5
0.367384344,1.4114511,3.6
0.367384344,1.4114511,3.7
0.367384344,1.4114511,3.8
0.367384344,1.4114511,3.9
0.367384344,1.4114511,4
0.367384344,1.4114511,4.1
0.367384344,1.4114511,4.2
0.367384344,1.4114511,4.3
0.367384344,1.427863322,2.5
0.367384344,1.427863322,2.6
0.367384344,1.427863322,2.7
0.367384344,1.427863322,2.8
0.367384344,1.427863322,2.9
0.367384344,1.427863322,3
0.367384344,1.427863322,3.1
0.367384344,1.427863322,3.2
0.367384344,1.427863322,3.3
0.367384344,1.427863322,3.4
0.367384344,1.427863322,3.5
0.367384344,1.427863322,3.6
0.367384344,1.427863322,3.7
0.367384344,1.427863322,3.8
0.367384344,1.427863322,3.9
0.367384344,1.427863322,4
0.367384344,1.427863322,4.1
0.367384344,1.427863322,4.2
0.367384344,1.427863322,4.3
0.367384344,1.444275542,2.5
0.367384344,1.444275542,2.6
0.367384344,1.444275542,2.7
0.367384344,1.444275542,2.8
0.367384344,1.444275542,2.9
0.367384344,1.444275542,3
0.367384344,1.444275542,3.1
0.367384344,1.444275542,3.2
0.367384344,1.444275542,3.3
0.367384344,1.444275542,3.4
0.367384344,1.444275542,3.5
0.367384344,1.444275542,3.6
0.367384344,1.444275542,3.7
0.367384344,1.444275542,3.8
0.367384344,1.444275542,3.9
0.367384344,1.444275542,4
0.367384344,1.444275542,4.1
0.367384344,1.444275542,4.2
0.367384344,1.444275542,4.3
0.367384344,1.460687764,2.5
0.367384344,1.460687764,2.6
0.367384344,1.460687764,2.7
0.367384344,1.460687764,2.8
0.367384344,1.460687764,2.9
0.367384344,1.460687764,3
0.367384344,1.460687764,3.1
0.367384344,1.460687764,3.2
0.367384344,1.460687764,3.3
0.367384344,1.460687764,3.4
0.367384344,1.460687764,3.5
0.367384344,1.460687764,3.6
0.367384344,1.460687764,3.7
0.367384344,1.460687764,3.8
0.367384344,1.460687764,3.9
0.367384344,1.460687764,4
0.367384344,1.460687764,4.1
0.367384344,1.460687764,4.2
0.367384344,1.460687764,4.3
0.367384344,1.477099986,2.5
0.367384344,1.477099986,2.6
0.367384344,1.477099986,2.7
0.367384344,1.477099986,2.8
0.367384344,1.477099986,2.9
0.367384344,1.477099986,3
0.367384344,1.477099986,3.1
0.367384344,1.477099986,3.2
0.367384344,1.477099986,3.3
0.367384344,1.477099986,3.4
0.367384344,1.477099986,3.5
0.367384344,1.477099986,3.6
0.367384344,1.477099986,3.7
0.367384344,1.477099986,3.8
0.367384344,1.477099986,3.9
0.367384344,1.477099986,4
0.367384344,1.477099986,4.1
0.367384344,1.477099986,4.2
0.367384344,1.477099986,4.3
0.367384344,1.493512208,2.5
0.367384344,1.493512208,2.6
0.367384344,1.493512208,2.7
0.367384344,1.493512208,2.8
0.367384344,1.493512208,2.9
0.367384344,1.493512208,3
0.367384344,1.493512208,3.1
0.367384344,1.493512208,3.2
0.367384344,1.493512208,3.3
0.367384344,1.493512208,3.4
0.367384344,1.493512208,3.5
0.367384344,1.493512208,3.6
0.367384344,1.493512208,3.7
0.367384344,1.493512208,3.8
0.367384344,1.493512208,3.9
0.367384344,1.493512208,4
0.367384344,1.493512208,4.1
0.367384344,1.493512208,4.2
0.367384344,1.493512208,4.3
0.367384344,1.509924431,2.5
0.367384344,1.509924431,2.6
0.367384344,1.509924431,2.7
0.367384344,1.509924431,2.8
0.367384344,1.509924431,2.9
0.367384344,1.509924431,3
0.367384344,1.509924431,3.1
0.367384344,1.509924431,3.2
0.367384344,1.509924431,3.3
0.367384344,1.509924431,3.4
0.367384344,1.509924431,3.5
0.367384344,1.509924431,3.6
0.367384344,1.509924431,3.7
0.367384344,1.509924431,3.8
0.367384344,1.509924431,3.9
0.367384344,1.509924431,4
0.367384344,1.509924431,4.1
0.367384344,1.509924431,4.2
0.367384344,1.509924431,4.3
0.367384344,1.526336653,2.5
0.367384344,1.526336653,2.6
0.367384344,1.526336653,2.7
0.367384344,1.526336653,2.8
0.367384344,1.526336653,2.9
0.367384344,1.526336653,3
0.367384344,1.526336653,3.1
0.367384344,1.526336653,3.2
0.367384344,1.526336653,3.3
0.367384344,1.526336653,3.4
0.367384344,1.526336653,3.5
0.367384344,1.526336653,3.6
0.367384344,1.526336653,3.7
0.367384344,1.526336653,3.8
0.367384344,1.526336653,3.9
0.367384344,1.526336653,4
0.367384344,1.526336653,4.1
0.367384344,1.526336653,4.2
0.367384344,1.526336653,4.3
0.367384344,1.542748875,2.5
0.367384344,1.542748875,2.6
0.367384344,1.542748875,2.7
0.367384344,1.542748875,2.8
0.367384344,1.542748875,2.9
0.367384344,1.542748875,3
0.367384344,1.542748875,3.1
0.367384344,1.542748875,3.2
0.367384344,1.542748875,3.3
0.367384344,1.542748875,3.4
0.367384344,1.542748875,3.5
0.367384344,1.542748875,3.6
0.367384344,1.542748875,3.7
0.367384344,1.542748875,3.8
0.367384344,1.542748875,3.9
0.367384344,1.542748875,4.3
0.367384344,1.559161097,2.5
0.367384344,1.559161097,2.6
0.367384344,1.559161097,2.7
0.367384344,1.559161097,2.8
0.367384344,1.559161097,2.9
0.367384344,1.559161097,3
0.367384344,1.559161097,3.1
0.367384344,1.559161097,3.2
0.367384344,1.559161097,3.3
0.367384344,1.559161097,3.4
0.367384344,1.559161097,3.5
0.367384344,1.559161097,3.6
0.367384344,1.559161097,3.7
0.367384344,1.559161097,3.8
0.367384344,1.559161097,3.9
0.367384344,1.559161097,4.1
0.367384344,1.559161097,4.2
0.367384344,1.559161097,4.3
0.371211264,1.312977767,2.6
0.371211264,1.312977767,2.8
0.371211264,1.312977767,2.9
0.371211264,1.312977767,3.2
0.371211264,1.312977767,3.4
0.371211264,1.312977767,3.5
0.371211264,1.312977767,3.6
0.371211264,1.312977767,3.7
0.371211264,1.312977767,3.8
0.371211264,1.312977767,3.9
0.371211264,1.312977767,4
0.371211264,1.312977767,4.1
0.371211264,1.312977767,4.2
0.371211264,1.312977767,4.3
0.371211264,1.329389989,2.5
0.371211264,1.329389989,2.6
0.371211264,1.329389989,2.7
0.371211264,1.329389989,2.8
0.371211264,1.329389989,2.9
0.371211264,1.329389989,3
0.371211264,1.329389989,3.1
0.371211264,1.329389989,3.2
0.371211264,1.329389989,3.5
0.371211264,1.329389989,3.6
0.371211264,1.329389989,3.7
0.371211264,1.329389989,3.8
0.371211264,1.329389989,3.9
0.371211264,1.329389989,4
0.371211264,1.329389989,4.1
0.371211264,1.329389989,4.2
0.371211264,1.329389989,4.3
0.371211264,1.345802211,2.5
0.371211264,1.345802211,2.6
0.371211264,1.345802211,2.7
0.371211264,1.345802211,2.8
0.371211264,1.345802211,2.9
0.371211264,1.345802211,3.1
0.371211264,1.345802211,3.2
0.371211264,1.345802211,3.3
0.371211264,1.345802211,3.4
0.371211264,1.345802211,3.5
0.371211264,1.345802211,3.6
0.371211264,1.345802211,3.7
0.371211264,1.345802211,3.8
0.371211264,1.345802211,3.9
0.371211264,1.345802211,4
0.371211264,1.345802211,4.1
0.371211264,1.345802211,4.2
0.371211264,1.345802211,4.3
0.371211264,1.362214433,2.5
0.371211264,1.362214433,2.6
0.371211264,1.362214433,2.7
0.371211264,1.362214433,2.8
0.371211264,1.362214433,2.9
0.371211264,1.362214433,3
0.371211264,1.362214433,3.1
0.371211264,1.362214433,3.2
0.371211264,1.362214433,3.3
0.371211264,1.362214433,3.4
0.371211264,1.362214433,3.5
0.371211264,1.362214433,3.6
0.371211264,1.362214433,3.7
0.371211264,1.362214433,3.8
0.371211264,1.362214433,4.1
0.371211264,1.362214433,4.3
0.371211264,1.378626656,2.5
0.371211264,1.378626656,2.6
0.371211264,1.378626656,2.7
0.371211264,1.378626656,2.8
0.371211264,1.378626656,2.9
0.371211264,1.378626656,3
0.371211264,1.378626656,3.1
0.371211264,1.378626656,3.2
0.371211264,1.378626656,3.3
0.371211264,1.378626656,3.4
0.371211264,1.378626656,3.5
0.371211264,1.378626656,3.6
0.371211264,1.378626656,3.7
0.371211264,1.378626656,3.8
0.371211264,1.378626656,3.9
0.371211264,1.378626656,4
0.371211264,1.378626656,4.1
0.371211264,1.378626656,4.2
0.371211264,1.378626656,4.3
0.371211264,1.395038878,2.5
0.371211264,1.395038878,2.6
0.371211264,1.395038878,2.7
0.371211264,1.395038878,2.8
0.371211264,1.395038878,2.9
0.371211264,1.395038878,3
0.371211264,1.395038878,3.1
0.371211264,1.395038878,3.2
0.371211264,1.395038878,3.3
0.371211264,1.395038878,3.4
0.371211264,1.395038878,3.5
0.371211264,1.395038878,3.6
0.371211264,1.395038878,3.7
0.371211264,1.395038878,3.8
0.371211264,1.395038878,3.9
0.371211264,1.395038878,4
0.371211264,1.395038878,4.1
0.371211264,1.395038878,4.2
0.371211264,1.395038878,4.3
0.371211264,1.4114511,2.5
0.371211264,1.4114511,2.7
0.371211264,1.4114511,2.8
0.371211264,1.4114511,2.9
0.371211264,1.4114511,3.8
0.371211264,1.4114511,3.9
0.371211264,1.4114511,4.1
0.371211264,1.4114511,4.2
0.371211264,1.4114511,4.3
0.371211264,1.427863322,2.5
0.371211264,1.427863322,2.6
0.371211264,1.427863322,2.7
0.371211264,1.427863322,2.8
0.371211264,1.427863322,2.9
0.371211264,1.427863322,3
0.371211264,1.427863322,3.1
0.371211264,1.427863322,3.2
0.371211264,1.427863322,3.3
0.371211264,1.427863322,3.4
0.371211264,1.427863322,3.5
0.371211264,1.427863322,3.6
0.371211264,1.427863322,3.7
0.371211264,1.427863322,3.8
0.371211264,1.427863322,3.9
0.371211264,1.427863322,4
0.371211264,1.427863322,4.1
0.371211264,1.444275542,2.5
0.371211264,1.444275542,2.6
0.371211264,1.444275542,2.7
0.371211264,1.444275542,2.8
0.371211264,1.444275542,2.9
0.371211264,1.444275542,3
0.371211264,1.444275542,3.1
0.371211264,1.444275542,3.2
0.371211264,1.444275542,3.3
0.371211264,1.444275542,3.4
0.371211264,1.444275542,3.5
0.371211264,1.444275542,3.6
0.371211264,1.444275542,3.8
0.371211264,1.444275542,3.9
0.371211264,1.444275542,4
0.371211264,1.444275542,4.1
0.371211264,1.444275542,4.2
0.371211264,1.444275542,4.3
0.371211264,1.460687764,2.5
0.371211264,1.460687764,2.6
0.371211264,1.460687764,2.7
0.371211264,1.460687764,2.8
0.371211264,1.460687764,2.9
0.371211264,1.460687764,3
0.371211264,1.460687764,3.1
0.371211264,1.460687764,3.2
0.371211264,1.460687764,3.3
0.371211264,1.460687764,3.4
0.371211264,1.460687764,3.5
0.371211264,1.460687764,3.6
0.371211264,1.460687764,3.7
0.371211264,1.460687764,3.8
0.371211264,1.460687764,3.9
0.371211264,1.460687764,4
0.371211264,1.460687764,4.1
0.371211264,1.460687764,4.2
0.371211264,1.460687764,4.3
0.371211264,1.477099986,2.5
0.371211264,1.477099986,2.6
0.371211264,1.477099986,2.7
0.371211264,1.477099986,2.8
0.371211264,1.477099986,2.9
0.371211264,1.477099986,3
0.371211264,1.477099986,3.1
0.371211264,1.477099986,3.2
0.371211264,1.477099986,3.3
0.371211264,1.477099986,3.4
0.371211264,1.477099986,3.5
0.371211264,1.477099986,3.6
0.371211264,1.477099986,3.7
0.371211264,1.477099986,3.8
0.371211264,1.477099986,3.9
0.371211264,1.477099986,4
0.371211264,1.477099986,4.1
0.371211264,1.477099986,4.2
0.371211264,1.477099986,4.3
0.371211264,1.493512208,2.5
0.371211264,1.493512208,2.6
0.371211264,1.493512208,2.7
0.371211264,1.493512208,2.8
0.371211264,1.493512208,2.9
0.371211264,1.493512208,3
0.371211264,1.493512208,3.1
0.371211264,1.493512208,3.2
0.371211264,1.493512208,3.3
0.371211264,1.493512208,3.4
0.371211264,1.493512208,3.5
0.371211264,1.493512208,3.6
0.371211264,1.493512208,3.7
0.371211264,1.493512208,3.8
0.371211264,1.493512208,3.9
